ID,NAME,OTHER_NAMES,URL,SCHOOL,COUNTRY,BIG_BOARD_RANK,BIG_BOARD_RANK_t
1642948,Ryan Nembhard,Ryan Nembhard,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433629.png,Gonzaga,Canada,61,#61+
1642854,Asa Newell,Asa Newell,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873201.png,Georgia,USA,15,#15
1642949,Yanic Konan Niederhauser,Yanic Konan Niederhäuser,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108024.png&w=350&h=254,Penn State,Switzerland,60,#60
1642950,Lachlan Olbrich,Lachlan Olbrich,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107156.png,California-Riverside,Australia,61,#61+
1642923,Otega Oweh,Otega Oweh,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106270.png,Kentucky,USA,61,#61+
1641825,Dink Pate,Dink Pate,,NBA G League Ignite,USA,47,#47
1642877,Micah Peavy,Micah Peavy,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432185.png,Georgetown,USA,61,#61+
1642861,Tahaad Pettiford,Tahaad Pettiford,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873089.png,Auburn,USA,38,#38
1642889,Labaron Philon,Labaron Philon,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873090.png,Alabama,USA,30,#30
1642962,Drake Powell,Drake Powell,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5037873.png,North Carolina,USA,34,#34
1642878,Tyrese Proctor,Tyrese Proctor,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5023693.png,Duke,Australia,42,#42
1642852,Derik Queen,Derik Queen,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4869780.png,Maryland,USA,9,#9
1642875,Maxime Raynaud,Maxime Raynaud,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898371.png,Stanford,France,35,#35
